"","min","start","feeder"
"1",0.0999833333333333,"start","bad"
"3",0.934983333333333,"stop",""
"4",2.77258333333333,"start","inside nest"
"5",8.83341666666667,"stop",""
"6",9.94285,"start","bad"
"8",11.5065833333333,"stop",""
"9",17.1798166666667,"start","inside nest"
"10",26.9795166666667,"stop",""
"11",27.62815,"start","bad"
"13",29.1248333333333,"stop",""
"14",31.4940333333333,"start","inside nest"
"15",40.8393666666667,"stop",""
"16",41.7103833333333,"start","bad"
"18",42.95405,"stop",""
"19",43.8289666666667,"start","inside nest"
"20",48.3571,"stop",""
"21",48.9632333333333,"start","bad"
"23",49.3926,"stop",""
"24",51.7201,"start","bad"
"25",51.7247666666667,"stop",""
"26",52.7962166666667,"start","bad"
"27",52.8297166666667,"stop",""
"28",53.8637333333333,"start","bad"
"29",54.16605,"stop",""
"30",57.2017166666667,"start","inside nest"
"31",62.1327666666667,"stop",""
"32",62.7071666666667,"start","bad"
"34",62.8021166666667,"stop",""
"35",62.8625166666667,"start","bad"
"36",62.9566166666667,"stop",""
"37",63.2661,"start","bad"
"38",63.64165,"stop",""
"39",63.7530166666667,"start","bad"
"40",63.995,"stop",""
"41",64.0792166666667,"start","bad"
"42",64.0894666666667,"stop",""
"43",65.9666833333333,"start","bad"
"44",66.1651333333333,"stop",""
"45",66.2400833333333,"start","bad"
"46",66.3442166666667,"stop",""
"47",66.428,"start","bad"
"48",66.55045,"stop",""
"49",71.9376,"start","inside nest"
"50",72.0514,"switch","switch"
"51",76.0538333333333,"stop",""
"52",77.0485166666667,"start","bad"
"54",77.3132,"stop",""
"55",79.5870666666667,"start","bad"
"56",79.59035,"stop",""
"57",82.6996833333333,"start","bad"
"59",82.7796,"stop",""
"60",86.1143166666667,"start","bad"
"61",86.1305,"stop",""
"62",91.55235,"start","really good"
"64",92.8409666666667,"stop",""
"65",95.4989833333333,"start","inside nest"
"66",100.534733333333,"stop",""
"67",100.560033333333,"start","tandem run"
"68",102.130233333333,"stop",""
"69",102.574716666667,"start","bad"
"71",102.5829,"stop",""
"72",103.296566666667,"start","bad"
"73",103.338766666667,"stop",""
"74",104.740316666667,"start","bad"
"75",104.7444,"stop",""
"76",107.29715,"start","bad"
"78",107.43525,"stop",""
"79",107.88535,"start","bad"
"80",107.889583333333,"stop",""
"81",110.0771,"start","bad"
"82",110.259833333333,"stop",""
"83",110.269433333333,"start","bad"
"84",110.395766666667,"stop",""
"85",111.0592,"start","bad"
"87",111.354983333333,"stop",""
"88",111.4036,"start","bad"
"89",111.570333333333,"stop",""
"90",113.233883333333,"start","inside nest"
"91",116.2576,"stop",""
"92",116.268833333333,"start","tandem run"
"93",116.393616666667,"stop",""
"94",116.708916666667,"start","bad"
"96",116.947216666667,"stop",""
"97",118.052133333333,"start","bad"
"98",118.118133333333,"stop",""
"99",118.12755,"start","bad"
"100",118.6476,"stop",""
"101",118.874416666667,"start","bad"
"102",118.882516666667,"stop",""
"103",118.923733333333,"start","bad"
"104",119.080216666667,"stop",""
"105",119.119516666667,"start","bad"
"106",119.685183333333,"stop",""
"107",120.413683333333,"start","inside nest"
"108",123.75475,"stop",""
"109",124.24775,"start","bad"
"111",124.667866666667,"stop",""
"112",124.71525,"start","bad"
"113",125.091266666667,"stop",""
"114",125.229366666667,"start","bad"
"115",125.567516666667,"stop",""
"116",125.593783333333,"start","bad"
"117",125.82415,"stop",""
"118",126.550366666667,"start","inside nest"
