"","min","start","feeder"
"1",4.11666666666667,"start","bad"
"3",4.24371666666667,"stop",""
"4",5.07893333333333,"start","bad"
"5",5.11473333333333,"stop",""
"6",5.18673333333333,"start","bad"
"7",5.2002,"stop",""
"8",27.8870166666667,"start","bad (will be good)"
"10",28.0298,"stop",""
"11",29.18135,"start","bad (will be good)"
"12",29.1882666666667,"stop",""
"13",30.5748666666667,"start","bad (will be good)"
"14",30.6346,"stop",""
"15",35.7424666666667,"start","inside nest"
"16",37.2459833333333,"stop",""
"17",37.3477166666667,"start","tandem run"
"18",38.4315333333333,"stop",""
"19",42.9286166666667,"start","bad (will be good)"
"20",43.09595,"stop",""
"22",48.9531333333333,"start","bad (will be good)"
"23",48.9635,"stop",""
"24",52.8069,"start","medium"
"26",54.2564833333333,"stop",""
"27",56.0238,"start","inside nest"
"28",60.4486333333333,"stop",""
"29",60.4650333333333,"start","tandem run"
"30",62.5609166666667,"start","medium"
"32",63.97685,"stop",""
"33",65.16375,"start","inside nest"
"34",68.95085,"stop",""
"35",68.9915333333333,"start","tandem run"
"36",71.2420666666667,"stop",""
"37",71.55765,"start","medium"
"39",71.9032333333333,"stop",""
"40",72.15375,"start","medium"
"41",73.7764666666667,"stop",""
"42",75.0608,"start","inside nest"
"43",78.1685,"switch","switch"
"44",78.2685,"stop",""
"45",78.2787666666667,"start","tandem run"
"46",79.5747,"stop",""
"47",79.9326833333333,"start","medium"
"49",81.30155,"stop",""
"50",81.9848333333333,"start","inside nest"
"51",86.9648333333333,"stop",""
"52",87.3275,"start","tandem run"
"53",87.34135,"stop",""
"54",87.5640166666667,"start","medium"
"56",88.9310166666667,"stop",""
"57",90.4070666666667,"start","inside nest"
"58",95.2182833333333,"stop",""
"59",95.4870666666667,"start","medium"
"61",97.1794,"stop",""
"62",98.14705,"start","inside nest"
"63",103.41865,"stop",""
"64",103.7105,"start","medium"
"66",104.94045,"stop",""
"67",105.0075,"start","medium"
"68",106.511816666667,"stop",""
"69",106.596216666667,"start","medium"
"70",107.104183333333,"stop",""
"71",109.25315,"start","medium"
"72",109.304083333333,"stop",""
"73",110.396416666667,"start","inside nest"
"74",111.738483333333,"stop",""
"75",111.75275,"start","tandem run"
"76",113.350266666667,"stop",""
"77",114.001433333333,"start","medium"
"79",114.21675,"stop",""
"80",114.25395,"start","medium"
"81",114.2841,"stop",""
"82",114.463883333333,"start","medium"
"83",114.525133333333,"stop",""
"84",114.910583333333,"start","medium"
"85",114.930316666667,"stop",""
"86",116.075183333333,"start","medium"
"87",116.229583333333,"stop",""
"88",116.815816666667,"start","medium"
"89",116.93395,"stop",""
"90",117.525766666667,"start","medium"
"91",117.834833333333,"stop",""
"92",119.19355,"start","inside nest"
"93",122.500716666667,"stop",""
"94",122.629633333333,"start","tandem run"
"95",124.958583333333,"stop",""
"96",125.297766666667,"start","medium"
"98",126.540166666667,"stop",""
"99",127.355666666667,"start","inside nest"
