"","min","start","feeder"
"1",1.61718333333333,"start","medium"
"3",3.77456666666667,"stop",""
"4",3.89708333333333,"start","medium"
"5",4.01538333333333,"stop",""
"6",7.1823,"start","inside nest"
"7",15.25215,"stop",""
"8",29.0846,"start","medium"
"10",30.9425333333333,"stop",""
"11",32.43575,"start","inside nest"
"12",36.4872166666667,"stop",""
"13",37.2735833333333,"start","medium"
"15",38.8333166666667,"stop",""
"16",40.06555,"start","inside nest"
"17",45.1611666666667,"stop",""
"18",46.0520166666667,"start","medium"
"20",47.8219,"stop",""
"21",49.2144666666667,"start","inside nest"
"22",51.9749,"stop",""
"23",52.0402,"start","tandem run"
"24",53.8454166666667,"start","medium"
"26",55.6167333333333,"stop",""
"27",56.21795,"start","inside nest"
"28",60.3162166666667,"stop",""
"29",60.81505,"start","medium"
"31",62.6996666666667,"stop",""
"32",63.0360333333333,"start","inside nest"
"33",63.3677,"switch","switch"
"34",66.5250666666667,"stop",""
"35",66.6035,"start","tandem run"
"36",68.8527,"start","medium"
"38",70.77215,"stop",""
"39",71.2262333333333,"start","inside nest"
"40",75.6395833333333,"stop",""
"41",75.6477166666667,"start","tandem run"
"42",76.4459666666667,"start","medium"
"44",78.2999333333333,"stop",""
"45",78.6509333333333,"start","inside nest"
"46",83.4142666666667,"stop",""
"47",84.2517166666667,"start","medium"
"49",86.1458666666667,"stop",""
"50",88.02275,"start","inside nest"
"51",91.52155,"stop",""
"52",91.5287833333333,"start","tandem run"
"53",93.6081833333333,"start","medium"
"55",95.8744833333333,"stop",""
"56",96.6031333333333,"start","inside nest"
"57",100.281633333333,"stop",""
"58",100.401033333333,"start","tandem run"
"59",102.521566666667,"start","medium"
"61",104.491266666667,"stop",""
"62",104.6605,"start","medium"
"63",105.76065,"stop",""
"64",108.353516666667,"start","inside nest"
"65",109.335866666667,"stop",""
"66",109.34525,"start","tandem run"
"67",110.84345,"start","medium"
"69",111.563683333333,"stop",""
"70",111.9895,"start","inside nest"
