"","min","start","feeder"
"1",0.478466666666667,"start","bad (will be good)"
"3",1.26856666666667,"stop",""
"4",1.32628333333333,"start","bad (will be good)"
"5",1.52148333333333,"stop",""
"6",1.62668333333333,"start","bad (will be good)"
"7",1.7444,"stop",""
"8",4.25426666666667,"start","inside nest"
"9",7.16345,"stop",""
"10",13.0338833333333,"start","bad (will be good)"
"12",13.9111,"stop",""
"13",14.1690833333333,"start","bad (will be good)"
"14",14.2902833333333,"stop",""
"15",16.0809833333333,"start","inside nest"
"16",19.0591,"stop",""
"17",20.2489,"start","bad (will be good)"
"19",21.0405833333333,"stop",""
"20",21.4541666666667,"start","bad (will be good)"
"21",21.6456166666667,"stop",""
"22",21.80775,"start","bad (will be good)"
"23",21.8140166666667,"stop",""
"24",25.3521,"start","inside nest"
"25",26.7253666666667,"stop",""
"26",27.9153,"start","bad (will be good)"
"28",28.5236833333333,"stop",""
"29",28.6112666666667,"start","bad (will be good)"
"30",28.8583333333333,"stop",""
"31",29.2553666666667,"start","bad (will be good)"
"32",29.3044166666667,"stop",""
"33",30.2771666666667,"start","inside nest"
"34",33.0319666666667,"stop",""
"35",33.5388666666667,"start","bad (will be good)"
"37",34.6680166666667,"stop",""
"38",35.6341,"start","inside nest"
"39",37.9734333333333,"stop",""
"40",38.3242166666667,"start","bad (will be good)"
"42",39.5570833333333,"stop",""
"43",40.4051833333333,"start","inside nest"
"44",40.7710166666667,"switch","switch"
"45",43.4542166666667,"stop",""
"46",43.7239333333333,"start","really good"
"48",46.1162166666667,"stop",""
"49",46.2303333333333,"start","really good"
"50",46.5717833333333,"stop",""
"51",48.9122,"start","inside nest"
"52",49.8056166666667,"stop",""
"53",49.8326833333333,"start","tandem run"
"54",51.3020666666667,"stop",""
"55",51.3275333333333,"start","really good"
"56",52.3186833333333,"stop",""
"58",52.9519833333333,"start","inside nest"
"59",56.1420833333333,"stop",""
"60",56.16915,"start","tandem run"
"61",60.1714666666667,"start","really good"
"63",61.5513166666667,"stop",""
"64",62.1820333333333,"start","inside nest"
"65",65.2158833333333,"stop",""
"66",65.2457333333333,"start","tandem run"
"67",66.3790166666667,"stop",""
"68",66.7354,"start","really good"
"70",67.9687,"stop",""
"71",68.7144833333333,"start","inside nest"
"72",70.3666666666667,"stop",""
"73",70.5164,"start","tandem run"
"74",71.8044666666667,"stop",""
"75",72.4572333333333,"start","really good"
"77",73.2731833333333,"stop",""
"78",74.0835333333333,"start","inside nest"
"79",76.6518166666667,"stop",""
"80",76.7419333333333,"start","tandem run"
"81",78.0796666666667,"stop",""
"82",78.32625,"start","really good"
"84",79.6787166666667,"stop",""
"85",80.2370833333333,"start","inside nest"
