"","min","start","feeder"
"1",4.02948333333333,"start","medium"
"3",5.92878333333333,"stop",""
"4",6.80368333333333,"start","inside nest"
"5",11.5828833333333,"stop",""
"6",11.9887,"start","tandem run"
"7",11.99105,"stop",""
"8",16.2666666666667,"start","tandem run"
"9",24.1833333333333,"stop",""
"10",25.5065,"start","medium"
"12",27.0824666666667,"stop",""
"13",27.9417666666667,"start","inside nest"
"14",33.2278333333333,"stop",""
"15",33.6131666666667,"start","tandem run"
"16",33.6173166666667,"stop",""
"17",35.55095,"start","medium"
"19",37.2074,"stop",""
"20",37.26695,"start","medium"
"21",37.29815,"stop",""
"22",38.9949166666667,"start","inside nest"
"23",42.7290333333333,"stop",""
"24",43.9143833333333,"start","medium"
"26",45.5804666666667,"stop",""
"27",45.5950166666667,"start","medium"
"28",45.6706833333333,"stop",""
"29",45.6777,"start","medium"
"30",45.7549166666667,"stop",""
"31",46.6220166666667,"start","inside nest"
"32",49.9279333333333,"stop",""
"33",50.0776833333333,"start","tandem run"
"34",51.5875166666667,"start","medium"
"36",53.0248,"stop",""
"37",53.0463666666667,"start","medium"
"38",53.25645,"stop",""
"39",53.2601,"start","medium"
"40",53.4298666666667,"stop",""
"41",54.3500166666667,"start","inside nest"
"42",57.8951166666667,"stop",""
"43",57.9115,"start","tandem run"
"44",58.9626833333333,"start","medium"
"46",60.6560666666667,"stop",""
"47",63.4424833333333,"start","inside nest"
"48",68.3445,"switch","switch"
"49",68.3611666666667,"stop",""
"50",68.3939333333333,"start","tandem run"
"51",69.7438666666667,"start","medium"
"53",71.4986,"stop",""
"54",72.61895,"start","inside nest"
"55",77.4362333333333,"stop",""
"56",77.4460333333333,"start","tandem run"
"57",78.9448666666667,"start","medium"
"59",80.4453,"stop",""
"60",81.33565,"start","inside nest"
"61",84.9735333333333,"stop",""
"62",85.7784666666667,"start","medium"
"64",87.3417833333333,"stop",""
"65",87.3834833333333,"start","medium"
"66",87.5168166666667,"stop",""
"67",87.9306,"start","inside nest"
"68",90.74115,"stop",""
"69",91.91575,"start","medium"
"71",93.6943166666667,"stop",""
"72",93.70195,"start","medium"
"73",93.8309166666667,"stop",""
"74",94.4522333333333,"start","inside nest"
"75",98.1527333333333,"stop",""
"76",98.35875,"start","tandem run"
"77",99.7099333333333,"start","medium"
"79",99.9795666666667,"stop",""
"80",100.061716666667,"start","medium"
"81",101.769433333333,"stop",""
"82",102.3869,"start","inside nest"
"83",105.892383333333,"stop",""
"84",106.04045,"start","tandem run"
"85",107.372583333333,"start","medium"
"87",107.415433333333,"stop",""
"88",107.437533333333,"start","medium"
"89",109.209583333333,"stop",""
"90",109.6515,"start","inside nest"
