"","min","start","feeder"
"1",1.29298333333333,"start","medium"
"3",3.22763333333333,"stop",""
"4",5.72338333333333,"start","inside nest"
"5",8.88473333333333,"stop",""
"6",9.73623333333333,"start","medium"
"8",11.2944166666667,"stop",""
"9",12.1305833333333,"start","inside nest"
"10",16.75885,"stop",""
"11",17.1886333333333,"start","medium"
"13",19.0998833333333,"stop",""
"14",19.73975,"start","inside nest"
"15",23.23735,"stop",""
"16",23.2498333333333,"start","tandem run"
"17",25.4754833333333,"start","medium"
"19",27.1608666666667,"stop",""
"20",27.7358,"start","inside nest"
"21",31.4155833333333,"stop",""
"22",31.5073666666667,"start","tandem run"
"23",32.90015,"start","medium"
"25",34.5624166666667,"stop",""
"26",35.1805166666667,"start","inside nest"
"27",39.9989666666667,"stop",""
"28",40.0421833333333,"start","tandem run"
"29",41.8969833333333,"start","medium"
"31",43.8271,"stop",""
"32",44.43765,"start","inside nest"
"33",45.2851666666667,"switch","switch"
"34",48.7688833333333,"stop",""
"35",48.8974333333333,"start","tandem run"
"36",50.1095333333333,"start","medium"
"38",51.5848,"stop",""
"39",52.4080666666667,"start","inside nest"
"40",55.3491666666667,"stop",""
"41",55.94,"start","medium"
"43",57.07155,"stop",""
"44",57.5867666666667,"start","inside nest"
"45",60.95545,"stop",""
"46",61.0196,"start","tandem run"
"47",62.0475833333333,"start","medium"
"49",62.4932666666667,"stop",""
"50",62.50965,"start","medium"
"51",62.5458333333333,"stop",""
"52",62.9874333333333,"start","medium"
"53",63.0511333333333,"stop",""
"54",63.1538166666667,"start","medium"
"55",63.6266,"stop",""
"56",64.1766833333333,"start","inside nest"
"57",67.4499833333333,"stop",""
"58",67.8456666666667,"start","medium"
"60",69.4145166666667,"stop",""
"61",69.9500833333333,"start","inside nest"
"62",73.2661833333333,"stop",""
"63",73.2810833333333,"start","tandem run"
"64",74.9590666666667,"start","medium"
"66",76.4107666666667,"stop",""
"67",76.9406833333333,"start","inside nest"
"68",80.84415,"stop",""
"69",81.01075,"start","tandem run"
"70",82.3114,"start","medium"
"72",83.4836166666667,"stop",""
"73",84.0348166666667,"start","inside nest"
