time,feeder,event,minutes,
0:00:00,1,good,0.00,
0:00:00,2,best,0.00,
0:00:00,3,poor,0.00,
0:04:05,1,start,4.08,Tape viewed through 2:55:00
0:04:18,2,start,4.30,
0:04:25,1,start,4.42,
0:06:01,3,start,6.02,
0:08:07,3,start,8.12,
0:09:48,1,start,9.80,
0:12:05,1,start,12.08,
0:12:14,1,start,12.23,
0:13:00,3,start,13.00,
0:17:39,1,start,17.65,
0:17:53,1,start,17.88,
0:20:25,2,start,20.42,
0:20:55,1,start,20.92,
0:22:13,1,start,22.22,
0:23:50,1,start,23.83,
0:23:59,3,start,23.98,
0:24:02,1,start,24.03,
0:25:15,1,start,25.25,
0:28:12,1,start,28.20,
0:29:13,1,start,29.22,
0:29:14,1,start,29.23,
0:29:51,1,start,29.85,
0:30:57,1,start,30.95,
0:32:10,2,start,32.17,
0:33:55,1,start,33.92,
0:38:16,1,start,38.27,
0:38:55,1,start,38.92,
0:40:56,1,start,40.93,
0:47:40,1,start,47.67,
0:48:08,1,start,48.13,
0:49:03,1,start,49.05,
0:52:02,1,start,52.03,
0:54:27,1,start,54.45,
0:55:50,1,start,55.83,
0:57:22,1,start,57.37,
1:00:50,1,start,60.83,
1:04:23,1,start,64.38,
1:06:13,1,start,66.22,
1:06:44,1,start,66.73,
1:06:56,1,start,66.93,
1:13:11,1,start,73.18,
1:13:18,1,start,73.30,
1:15:54,1,start,75.90,
1:16:34,1,start,76.57,
1:20:00,1,start,80.00,
1:21:04,1,start,81.07,
1:22:58,1,start,82.97,
1:24:07,1,start,84.12,
1:26:42,1,start,86.70,
1:30:44,2,switch,90.73,
1:34:12,1,start,94.20,
1:36:29,1,start,96.48,
1:38:14,1,start,98.23,
1:40:44,2,start,100.73,
1:42:02,2,start,102.03,
1:45:21,2,start,105.35,
1:47:19,1,start,107.32,
1:51:52,2,start,111.87,
1:52:03,2,start,112.05,
1:56:30,2,start,116.50,
1:58:22,2,start,118.37,
2:00:50,2,start,120.83,
2:00:56,1,start,120.93,
2:02:55,2,start,122.92,
2:06:42,2,start,126.70,
2:07:09,2,start,127.15,
2:10:30,2,start,130.50,
2:12:40,2,start,132.67,
2:13:18,2,start,133.30,
2:13:48,1,start,133.80,
2:14:41,2,start,134.68,
2:17:15,2,tandem,137.25,
2:19:08,2,start,139.13,
2:19:24,2,start,139.40,
2:19:58,2,start,139.97,
2:20:00,2,start,140.00,
2:21:04,2,start,141.07,
2:21:55,2,start,141.92,
2:24:59,1,start,144.98,
2:27:03,2,start,147.05,
2:27:55,2,tandem,147.92,
2:28:01,2,start,148.02,
2:28:22,2,start,148.37,
2:28:54,2,start,148.90,
2:31:37,2,start,151.62,
2:32:58,2,start,152.97,
2:33:23,2,start,153.38,
2:34:35,2,start,154.58,
2:35:13,2,start,155.22,
2:37:13,2,start,157.22,
2:37:54,2,start,157.90,
2:38:20,2,start,158.33,
2:39:15,2,start,159.25,
2:40:09,2,start,160.15,
2:41:16,2,start,161.27,
2:41:51,2,tandem,161.85,
2:42:57,2,start,162.95,
2:43:26,2,start,163.43,
2:45:26,2,start,165.43,
2:46:49,2,start,166.82,
2:47:01,2,start,167.02,
2:50:14,2,start,170.23,
2:53:05,2,tandem,173.08,
2:53:30,2,start,173.50,
2:54:00,2,start,174.00,
2:54:28,2,start,174.47,
2:54:33,2,start,174.55,
