time,feeder,event,minutes,,
0:00:00,1,best,0.00,,
0:00:00,2,poor,0.00,,
0:00:00,3,good,0.00,,
0:01:26,1,start,1.43,,
0:07:14,1,start,7.23,,
0:08:05,1,start,8.08,,
0:13:05,1,start,13.08,,
0:16:29,1,start,16.48,,
0:27:29,1,start,27.48,,
0:34:00,1,switch,34.00,,
0:36:12,1,start,36.20,,
0:44:49,1,start,44.82,,
0:53:51,1,start,53.85,,
0:55:56,1,start,55.93,,
1:01:28,1,start,61.47,,
1:01:28,1,start,61.47,,
1:02:29,1,start,62.48,,
1:07:56,1,start,67.93,,
1:09:23,1,start,69.38,,
1:14:00,1,start,74.00,,
1:16:21,1,start,76.35,,
1:20:24,1,start,80.40,,
1:21:38,1,start,81.63,,
1:21:59,1,start,81.98,,
1:22:29,1,start,82.48,,
1:23:44,1,start,83.73,,
1:26:07,1,start,86.12,,
1:30:02,1,start,90.03,,
1:32:19,1,start,92.32,,
1:36:25,1,start,96.42,,
1:36:38,1,start,96.63,,
1:37:06,1,start,97.10,,
1:39:40,1,start,99.67,,
1:39:41,1,start,99.68,,
1:43:14,1,start,103.23,,
1:44:32,1,start,104.53,,
1:47:10,1,start,107.17,,
1:47:31,1,start,107.52,,
1:51:50,1,start,111.83,,
1:53:52,1,start,113.87,,
1:56:20,1,start,116.33,,
1:57:54,1,start,117.90,,
1:58:38,1,start,118.63,,
2:03:34,1,start,123.57,,
2:04:14,1,start,124.23,,
2:11:05,1,start,131.08,,
2:15:35,1,start,135.58,,
2:17:53,1,start,137.88,,
2:23:23,1,start,143.38,,
2:23:54,1,start,143.90,,
2:25:00,1,start,145.00,,
2:25:20,1,start,145.33,,
2:25:23,1,start,145.38,,
2:25:55,1,start,145.92,,
2:29:07,1,start,149.12,,
2:30:42,1,start,150.70,,
0:02:19,2,start,2.32,,
0:10:26,2,start,10.43,,
0:17:24,2,start,17.40,,
0:23:51,2,start,23.85,,
1:09:38,2,start,69.63,,
1:18:57,2,start,78.95,thru 1:30:00,
0:00:50,3,start,0.83,,
0:00:54,3,start,0.90,,
0:01:23,3,start,1.38,,
0:04:01,3,start,4.02,,
0:04:11,3,start,4.18,,
0:06:17,3,start,6.28,,
0:06:59,3,start,6.98,,
0:07:19,3,start,7.32,,
0:09:12,3,tandem,9.20,,
0:10:48,3,start,10.80,,
0:12:35,3,start,12.58,,
0:12:39,3,start,12.65,,
0:13:13,3,start,13.22,,
0:13:28,3,start,13.47,,
0:13:44,3,start,13.73,,
0:13:50,3,start,13.83,,
0:14:07,3,start,14.12,,
0:17:05,3,start,17.08,,
0:18:08,3,tandem,18.13,,
0:18:22,3,start,18.37,,
0:18:28,3,start,18.47,,
0:18:53,3,start,18.88,,
0:18:54,3,start,18.90,,
0:19:17,3,start,19.28,,
0:19:27,3,start,19.45,,
0:19:40,3,start,19.67,,
0:19:45,3,start,19.75,,
0:19:58,3,start,19.97,,
0:20:01,3,start,20.02,,
0:20:03,3,tandem,20.05,,
0:20:10,3,start,20.17,,
0:20:29,3,start,20.48,,
0:21:04,3,start,21.07,,
0:21:11,3,start,21.18,,
0:21:30,3,start,21.50,,
0:23:52,3,start,23.87,,
0:24:37,3,start,24.62,,
0:25:07,3,start,25.12,,
0:25:14,3,tandem,25.23,,
0:25:18,3,start,25.30,,
0:26:06,3,start,26.10,,
0:26:07,3,start,26.12,,
0:26:09,3,tandem,26.15,,
0:26:21,3,start,26.35,,
0:26:33,3,start,26.55,,
0:26:40,3,start,26.67,,
0:26:48,3,start,26.80,,
0:26:54,3,start,26.90,,
0:26:55,3,tandem,26.92,,
0:27:08,3,start,27.13,,
0:27:30,3,start,27.50,,
0:28:24,3,start,28.40,,
0:28:29,3,start,28.48,,
0:29:10,3,start,29.17,,
0:29:23,3,start,29.38,,
0:29:28,3,start,29.47,,
0:30:12,3,start,30.20,,
0:30:20,3,start,30.33,,
0:30:26,3,start,30.43,,
0:30:47,3,start,30.78,,
0:31:16,3,start,31.27,,
0:31:16,3,start,31.27,,
0:31:27,3,start,31.45,,
0:31:45,3,tandem,31.75,,
0:31:48,3,start,31.80,,
0:32:30,3,tandem,32.50,,
0:32:45,3,start,32.75,,
0:32:49,3,start,32.82,,
0:32:50,3,start,32.83,,
0:33:11,3,start,33.18,,
0:33:11,3,start,33.18,,
0:33:14,3,start,33.23,,
0:33:30,3,start,33.50,,
0:33:31,3,start,33.52,,
0:34:09,3,start,34.15,,
0:34:53,3,start,34.88,,
0:35:17,3,start,35.28,,
0:35:24,3,start,35.40,,
0:35:32,3,tandem,35.53,,
0:35:38,3,start,35.63,,
0:37:18,3,start,37.30,,
0:37:35,3,start,37.58,,
0:37:40,3,start,37.67,,
0:37:50,3,tandem,37.83,,
0:38:27,3,start,38.45,,
0:38:55,3,start,38.92,,
0:39:11,3,start,39.18,,
0:39:15,3,start,39.25,,
0:39:21,3,start,39.35,,
0:39:29,3,start,39.48,,
0:39:30,3,start,39.50,,
0:39:35,3,start,39.58,,
0:39:57,3,start,39.95,,
0:40:05,3,tandem,40.08,,
0:40:24,3,start,40.40,,
0:40:38,3,start,40.63,,
0:40:40,3,start,40.67,,
0:40:40,3,start,40.67,,
0:40:44,3,start,40.73,,
0:40:56,3,start,40.93,,
0:41:32,3,start,41.53,,
0:41:32,3,start,41.53,,
0:42:00,3,start,42.00,,
0:42:24,3,start,42.40,,
0:42:27,3,start,42.45,,
0:43:16,3,start,43.27,,
0:43:29,3,start,43.48,,
0:43:56,3,start,43.93,,
0:43:57,3,start,43.95,,
0:44:12,3,start,44.20,,
0:44:17,3,tandem,44.28,,
0:44:34,3,start,44.57,,
