time,feeder,event,minutes,
0:00:00,1,poor,0.00,
0:00:00,2,best,0.00,
0:00:00,3,good,0.00,
0:03:22,3,start,3.37,
0:03:27,3,start,3.45,
0:03:32,2,start,3.53,
0:06:15,3,start,6.25,
0:06:25,3,start,6.42,
0:06:45,3,start,6.75,
0:09:57,3,start,9.95,
0:12:06,3,start,12.10,
0:12:27,3,start,12.45,
0:12:38,3,start,12.63,
0:15:31,3,start,15.52,
0:17:35,3,start,17.58,
0:18:20,3,start,18.33,
0:18:24,3,start,18.40,
0:18:29,3,start,18.48,
0:18:55,1,start,18.92,
0:20:10,1,start,20.17,
0:22:47,3,start,22.78,
0:24:00,3,start,24.00,
0:24:24,3,start,24.40,
0:24:37,3,start,24.62,
0:28:00,3,start,28.00,
0:28:45,3,start,28.75,
0:30:03,3,start,30.05,
0:30:25,3,start,30.42,
0:32:32,3,start,32.53,
0:32:45,3,start,32.75,
0:34:15,3,start,34.25,
0:35:51,3,start,35.85,
0:37:42,1,start,37.70,
0:37:53,3,start,37.88,
0:37:53,3,start,37.88,
0:37:53,3,start,37.88,
0:39:12,3,start,39.20,
0:39:16,1,start,39.27,
0:39:17,3,start,39.28,
0:39:59,3,start,39.98,
0:42:53,3,start,42.88,
0:43:16,3,start,43.27,
0:43:32,3,start,43.53,
0:44:29,3,start,44.48,
0:45:46,3,start,45.77,
0:46:34,3,start,46.57,
0:48:29,3,start,48.48,
0:49:22,3,start,49.37,
0:49:47,3,start,49.78,
0:50:12,3,start,50.20,
0:50:23,3,start,50.38,
0:50:32,2,switch,50.53,
0:51:12,2,start,51.20,
0:51:28,3,start,51.47,
0:51:35,3,start,51.58,
0:51:46,3,start,51.77,
0:52:10,2,start,52.17,
0:53:17,3,start,53.28,
0:54:21,3,start,54.35,
0:54:22,2,start,54.37,
0:55:29,2,start,55.48,
0:56:27,2,start,56.45,
0:56:54,3,start,56.90,
0:58:17,3,start,58.28,
0:59:02,3,start,59.03,
1:00:12,3,start,60.20,
1:01:00,3,start,61.00,
1:01:21,2,start,61.35,
1:01:57,2,start,61.95,
1:02:34,3,start,62.57,
1:02:59,2,start,62.98,
1:03:07,2,start,63.12,
1:03:48,3,start,63.80,
1:04:10,2,start,64.17,
1:05:08,3,start,65.13,
1:05:44,2,start,65.73,
1:09:16,3,start,69.27,
1:09:47,2,tandem,69.78,
1:10:27,3,start,70.45,
1:10:32,2,start,70.53,
1:10:47,2,start,70.78,
1:11:01,2,start,71.02,
1:11:04,2,start,71.07,
1:11:09,3,start,71.15,
1:11:16,3,start,71.27,
1:12:38,2,start,72.63,
1:13:15,2,start,73.25,
1:13:38,3,start,73.63,
1:14:19,3,start,74.32,
1:15:00,2,start,75.00,
1:16:21,2,start,76.35,
1:16:28,2,start,76.47,
1:16:32,3,start,76.53,
1:19:42,2,start,79.70,
1:19:56,2,start,79.93,
1:20:30,3,start,80.50,
1:20:31,2,start,80.52,
1:20:33,3,start,80.55,
1:20:38,2,tandem,80.63,
1:20:44,2,start,80.73,
1:22:16,2,start,82.27,
1:22:25,2,start,82.42,
1:22:55,2,start,82.92,
1:23:14,3,start,83.23,
1:24:34,2,start,84.57,
1:26:41,2,start,86.68,
1:26:49,3,start,86.82,
1:27:02,2,start,87.03,
1:27:55,2,start,87.92,
1:28:09,2,start,88.15,
1:28:27,3,start,88.45,
1:30:52,2,start,90.87,
1:31:49,2,start,91.82,
1:32:59,3,start,92.98,
1:33:35,2,start,93.58,
1:35:20,2,start,95.33,
1:35:20,2,start,95.33,
1:36:31,2,tandem,96.52,
1:36:33,2,start,96.55,
1:37:20,2,start,97.33,
1:37:58,2,start,97.97,
1:38:09,2,start,98.15,
1:38:12,2,start,98.20,
1:38:42,3,start,98.70,
1:38:52,3,start,98.87,
1:38:53,2,tandem,98.88,
1:39:53,2,start,99.88,
1:40:25,2,start,100.42,
1:40:45,2,start,100.75,
1:40:51,3,start,100.85,
1:41:12,3,start,101.20,
1:41:41,2,start,101.68,
1:41:46,2,start,101.77,
1:42:21,3,start,102.35,
1:42:24,2,tandem,102.40,
1:42:58,2,start,102.97,
1:43:05,2,start,103.08,
1:43:10,2,start,103.17,
1:43:58,2,start,103.97,
1:45:08,2,start,105.13,
1:45:37,2,tandem,105.62,
1:47:21,2,start,107.35,
1:48:19,2,start,108.32,
1:48:52,2,start,108.87,
1:49:47,2,start,109.78,
1:50:16,2,tandem,110.27,
1:50:44,2,start,110.73,
1:50:53,2,start,110.88,
1:51:08,2,start,111.13,
1:51:20,2,start,111.33,
1:52:33,3,start,112.55,
1:52:53,2,start,112.88,
1:53:58,2,tandem,113.97,
