time,feeder,event,minutes
0:00:00,1,good,0.00
0:00:00,2,best,0.00
0:00:00,3,poor,0.00
0:01:39,1,start,1.65
0:03:37,1,start,3.62
0:05:44,1,start,5.73
0:06:29,1,start,6.48
0:09:33,1,start,9.55
0:13:18,1,start,13.30
0:13:50,1,start,13.83
0:13:50,1,start,13.83
0:14:22,1,start,14.37
0:17:52,1,start,17.87
0:18:12,1,start,18.20
0:19:31,1,start,19.52
0:19:44,1,start,19.73
0:21:47,1,start,21.78
0:22:17,1,start,22.28
0:25:03,1,start,25.05
0:25:26,1,start,25.43
0:25:39,1,start,25.65
0:26:53,1,start,26.88
0:27:19,1,start,27.32
0:28:29,1,start,28.48
0:29:27,1,start,29.45
0:29:47,1,start,29.78
0:30:55,1,start,30.92
0:31:39,1,tandem,31.65
0:32:48,1,tandem,32.80
0:33:28,1,start,33.47
0:33:57,1,start,33.95
0:34:00,1,start,34.00
0:34:16,1,start,34.27
0:34:17,1,start,34.28
0:34:18,1,start,34.30
0:34:30,1,start,34.50
0:35:10,1,start,35.17
0:35:26,1,start,35.43
0:37:23,1,start,37.38
0:38:01,1,start,38.02
0:38:29,1,start,38.48
0:38:32,1,tandem,38.53
0:39:12,1,start,39.20
0:39:20,1,start,39.33
0:39:21,1,start,39.35
0:39:35,1,start,39.58
0:39:41,1,start,39.68
0:40:56,1,start,40.93
0:40:41,1,tandem,40.68
0:41:55,1,start,41.92
0:41:56,1,start,41.93
0:42:00,1,start,42.00
0:42:09,1,start,42.15
0:42:57,1,start,42.95
0:44:11,1,tandem,44.18
0:44:14,1,start,44.23
0:44:18,1,start,44.30
0:44:29,1,start,44.48
0:44:46,1,start,44.77
0:46:23,1,start,46.38
0:46:44,1,start,46.73
0:46:51,1,start,46.85
0:47:22,1,start,47.37
0:47:42,1,start,47.70
0:47:46,1,tandem,47.77
0:48:43,1,start,48.72
0:48:57,1,start,48.95
0:49:45,1,start,49.75
0:49:45,1,start,49.75
0:50:24,1,start,50.40
0:50:29,1,start,50.48
0:50:54,1,start,50.90
0:51:05,1,start,51.08
0:52:36,1,start,52.60
0:52:57,1,start,52.95
0:53:34,1,start,53.57
0:53:42,1,start,53.70
0:54:13,1,start,54.22
0:54:20,1,start,54.33
0:54:41,1,start,54.68
0:55:10,1,tandem,55.17
0:55:17,1,start,55.28
0:55:19,1,start,55.32
0:55:41,1,start,55.68
0:55:49,1,start,55.82
0:56:01,1,start,56.02
0:56:06,1,start,56.10
0:56:49,1,start,56.82
0:57:01,1,start,57.02
0:57:21,1,start,57.35
0:58:10,1,start,58.17
0:58:28,1,start,58.47
0:59:25,1,start,59.42
0:59:36,1,start,59.60
1:00:06,1,start,60.10
1:00:51,1,start,60.85
1:01:21,1,start,61.35
1:01:32,1,start,61.53
1:01:41,1,start,61.68
1:02:37,1,start,62.62
1:02:52,1,start,62.87
1:03:33,1,tandem,63.55
1:03:39,1,start,63.65
1:04:13,1,start,64.22
1:04:27,1,start,64.45
1:04:39,1,start,64.65
1:05:10,1,start,65.17
1:05:15,1,start,65.25
1:05:21,1,start,65.35
1:06:18,1,start,66.30
1:06:53,1,start,66.88
1:07:29,1,tandem,67.48
1:07:41,1,start,67.68
1:07:55,1,start,67.92
1:08:00,1,start,68.00
1:08:08,1,start,68.13
1:08:10,1,start,68.17
1:08:16,1,start,68.27
1:08:33,1,start,68.55
1:10:10,1,start,70.17
1:10:17,1,start,70.28
1:10:24,1,start,70.40
1:10:40,1,start,70.67
1:11:15,1,start,71.25
1:12:27,1,start,72.45
1:12:37,1,start,72.62
1:12:47,1,start,72.78
1:12:50,1,start,72.83
1:13:13,1,start,73.22
1:13:15,1,start,73.25
1:13:17,1,tandem,73.28
1:13:46,1,start,73.77
1:14:01,1,start,74.02
1:14:08,1,start,74.13
1:15:00,1,start,75.00
0:06:18,2,start,6.30
0:14:51,2,start,14.85
0:17:59,2,start,17.98
0:32:32,2,start,32.53
0:43:28,2,switch,43.47
0:12:51,3,start,12.85
0:37:55,3,start,37.92
0:39:43,3,start,39.72
0:42:38,3,start,42.63
