time,feeder,event,minutes
0:00:00,1,best,0.00
0:00:00,2,good,0.00
0:00:00,3,poor,0.00
0:00:58,1,start,0.97
0:01:02,1,start,1.03
0:01:46,1,start,1.77
0:02:24,1,start,2.40
0:05:51,1,start,5.85
0:07:51,1,start,7.85
0:10:00,1,start,10.00
0:10:26,1,start,10.43
0:11:49,1,start,11.82
0:13:28,1,start,13.47
0:13:46,1,start,13.77
0:16:40,1,start,16.67
0:18:23,1,start,18.38
0:18:59,1,start,18.98
0:19:15,1,start,19.25
0:19:26,1,tandem,19.43
0:20:41,1,start,20.68
0:21:09,1,start,21.15
0:21:36,1,start,21.60
0:24:44,1,start,24.73
0:28:37,1,start,28.62
0:32:42,1,start,32.70
0:37:32,1,start,37.53
0:38:59,1,start,38.98
0:39:44,1,start,39.73
0:39:49,1,start,39.82
0:40:49,1,start,40.82
0:42:51,1,start,42.85
0:44:16,1,tandem,44.27
0:45:54,1,start,45.90
0:47:26,1,start,47.43
0:47:44,1,start,47.73
0:52:01,1,start,52.02
0:52:23,1,start,52.38
0:53:56,1,start,53.93
0:54:21,1,start,54.35
0:56:42,1,start,56.70
0:58:10,1,tandem,58.17
1:00:03,1,start,60.05
1:00:06,1,start,60.10
1:00:54,1,start,60.90
1:01:29,1,start,61.48
1:04:16,1,tandem,64.27
1:04:25,1,start,64.42
1:04:30,1,tandem,64.50
1:04:57,1,start,64.95
1:05:02,1,start,65.03
1:05:10,1,start,65.17
1:05:14,1,start,65.23
1:07:50,1,start,67.83
1:08:23,1,tandem,68.38
1:08:55,1,start,68.92
1:09:17,1,start,69.28
1:09:18,1,start,69.30
1:09:20,1,start,69.33
1:12:56,1,tandem,72.93
1:13:27,1,start,73.45
1:13:39,1,start,73.65
1:15:22,1,start,75.37
1:15:37,1,start,75.62
1:18:12,1,start,78.20
1:20:17,1,start,80.28
1:21:24,1,tandem,81.40
1:22:11,1,start,82.18
1:22:21,1,start,82.35
1:22:28,1,start,82.47
1:25:10,1,start,85.17
0:02:16,2,start,2.27
0:04:21,2,start,4.35
0:09:59,2,start,9.98
0:10:24,2,start,10.40
0:13:34,2,start,13.57
0:17:21,2,start,17.35
0:20:33,2,start,20.55
0:21:03,2,start,21.05
0:23:15,2,tandem,23.25
0:24:50,2,start,24.83
0:24:54,2,start,24.90
0:25:06,2,start,25.10
0:26:22,2,start,26.37
0:28:41,2,start,28.68
0:29:12,2,start,29.20
0:29:42,2,start,29.70
0:30:09,2,start,30.15
0:34:14,2,tandem,34.23
0:36:29,2,start,36.48
0:37:40,2,start,37.67
0:37:40,2,start,37.67
0:37:44,2,start,37.73
0:38:32,2,start,38.53
0:41:20,2,start,41.33
0:41:28,2,start,41.47
0:42:49,2,start,42.82
0:43:22,2,start,43.37
0:44:13,2,start,44.22
0:48:50,2,start,48.83
0:48:51,2,start,48.85
0:49:38,2,start,49.63
0:50:11,2,start,50.18
0:53:50,2,start,53.83
0:57:16,2,start,57.27
0:59:40,2,tandem,59.67
1:01:23,2,start,61.38
1:01:44,2,start,61.73
1:01:50,2,start,61.83
1:02:49,2,start,62.82
1:09:07,2,start,69.12
1:12:10,2,start,72.17
1:14:23,2,start,74.38
1:14:46,2,start,74.77
1:15:50,2,start,75.83
1:22:12,2,start,82.20
1:25:40,2,start,85.67
0:02:02,3,start,2.03
0:02:38,3,start,2.63
0:04:18,3,start,4.30
0:05:18,3,start,5.30
0:08:09,3,start,8.15
0:11:06,3,start,11.10
0:13:44,3,start,13.73
0:18:39,3,start,18.65
0:20:06,3,start,20.10
0:21:14,3,start,21.23
0:28:11,3,start,28.18
0:34:23,3,start,34.38
0:37:09,3,start,37.15
0:40:57,3,start,40.95
0:44:12,3,start,44.20
0:57:33,3,start,57.55
0:37:08,1,switch,37.13
