"","min","start","feeder"
"1",0.0189,"start","bad (will be good)"
"3",0.877116666666667,"stop",""
"4",2.85328333333333,"start","bad (will be good)"
"5",3.38378333333333,"stop",""
"6",7.39891666666667,"start","bad (will be good)"
"7",7.40331666666667,"stop",""
"8",9.7008,"start","bad"
"10",10.2478333333333,"stop",""
"11",25.8996833333333,"start","medium"
"13",27.4737333333333,"stop",""
"14",27.5386666666667,"start","medium"
"15",27.8696,"stop",""
"16",34.0873833333333,"start","inside nest"
"17",42.82465,"stop",""
"18",42.8879833333333,"start","tandem run"
"19",44.9806833333333,"stop",""
"20",44.9908166666667,"start","bad"
"22",45.0802666666667,"stop",""
"23",45.8585,"start","bad"
"25",46.7381833333333,"stop",""
"26",46.8189833333333,"start","bad"
"27",47.4982833333333,"stop",""
"28",47.7212,"start","bad"
"29",48.13065,"stop",""
"30",48.975,"start","inside nest"
"31",54.2524666666667,"stop",""
"32",54.2625833333333,"start","tandem run"
"33",55.5787833333333,"stop",""
"34",55.9540333333333,"start","bad"
"36",56.3797333333333,"stop",""
"37",56.4946333333333,"start","bad"
"38",57.4175,"stop",""
"39",57.4930833333333,"start","bad"
"40",58.0865166666667,"stop",""
"41",58.8444833333333,"start","inside nest"
"42",66.9107166666667,"stop",""
"43",66.95885,"start","bad"
"45",68.8550333333333,"stop",""
"46",69.3486666666667,"start","inside nest"
"47",70.3486666666667,"switch","switch"
"48",72.8013333333333,"stop",""
"49",72.82055,"start","tandem run"
"50",73.8914333333333,"stop",""
"51",73.8951666666667,"start","bad"
"53",75.0667,"stop",""
"54",75.4308166666667,"start","inside nest"
"55",80.0391166666667,"stop",""
"56",80.0708333333333,"start","tandem run"
"57",81.2990333333333,"stop",""
"58",81.72235,"start","bad"
"60",82.96415,"stop",""
"61",83.60385,"start","inside nest"
"62",88.24,"stop",""
"63",95.3325666666667,"start","inside nest"
"64",97.4202,"stop",""
"65",97.4334,"start","tandem run"
"66",99.7694,"stop",""
"67",100.677083333333,"start","bad"
"69",100.684333333333,"stop",""
"70",103.413616666667,"start","inside nest"
"71",104.548883333333,"stop",""
"72",104.57355,"start","tandem run"
"73",112.20435,"stop",""
"74",116.989833333333,"start","medium"
"76",117.99205,"stop",""
"77",118.63855,"start","medium"
"78",118.67815,"stop",""
"79",118.8944,"start","medium"
"80",120.43525,"stop",""
"81",125.698983333333,"start","inside nest"
"82",133.0238,"stop",""
"83",133.0606,"start","tandem run"
"84",137.445166666667,"stop",""
"85",138.430033333333,"start","really good"
"87",140.986566666667,"stop",""
"88",142.576766666667,"start","inside nest"
"89",154.713983333333,"stop",""
"90",154.728666666667,"start","tandem run"
"91",155.906333333333,"stop",""
"92",160.54435,"start","really good"
"94",168.214216666667,"stop",""
"95",169.229766666667,"start","inside nest"
