"","min","start","feeder"
"1",1.15545,"start","medium"
"3",3.29421666666667,"stop",""
"4",4.66233333333333,"start","inside nest"
"5",13.88975,"stop",""
"6",14.68665,"start","medium"
"8",17.33605,"stop",""
"9",18.4486,"start","inside nest"
"10",22.7646333333333,"stop",""
"11",23.5888666666667,"start","medium"
"13",25.0811666666667,"stop",""
"14",26.2630333333333,"start","inside nest"
"15",28.6421333333333,"stop",""
"16",29.2960333333333,"start","medium"
"18",30.4245,"stop",""
"19",31.38345,"start","inside nest"
"20",37.7335166666667,"stop",""
"21",38.05355,"start","medium"
"23",40.6070333333333,"stop",""
"24",41.8626333333333,"start","inside nest"
"25",45.5454,"stop",""
"26",46.2058,"start","medium"
"28",48.6191,"stop",""
"29",49.3734,"start","inside nest"
"30",51.9147,"switch","switch"
"31",53.5961666666667,"stop",""
"32",55.6595,"start","medium"
"34",57.9976166666667,"stop",""
"35",58.8719,"start","inside nest"
"36",64.4308666666667,"stop",""
"37",66.33215,"start","medium"
"39",68.5089,"stop",""
"40",69.4038333333333,"start","inside nest"
"41",72.3928833333333,"stop",""
"42",74.3024333333333,"start","medium"
"44",76.5223833333333,"stop",""
"45",77.1184,"start","inside nest"
"46",79.9484,"stop",""
"47",81.1647833333333,"start","medium"
"49",83.2054666666667,"stop",""
"50",83.882,"start","inside nest"
"51",88.0220333333333,"stop",""
"52",89.1289833333333,"start","medium"
"54",91.32225,"stop",""
"55",92.1986166666667,"start","inside nest"
"56",96.9684833333333,"stop",""
"57",98.5148833333333,"start","medium"
"59",100.870616666667,"stop",""
"60",101.389983333333,"start","inside nest"
