"","min","start","feeder"
"1",5.59236666666667,"start","medium"
"3",7.70028333333333,"stop",""
"4",11.6705666666667,"start","inside nest"
"5",17.47255,"stop",""
"6",19.7950833333333,"start","bad"
"8",19.8927333333333,"stop",""
"9",20.0688,"start","bad"
"10",20.1014666666667,"stop",""
"11",20.24525,"start","bad"
"12",20.2701166666667,"stop",""
"13",20.34825,"start","bad"
"14",20.40345,"stop",""
"15",22.7042666666667,"start","bad"
"17",22.756,"stop",""
"18",31.817,"start","medium"
"20",34.0016833333333,"stop",""
"21",35.9621,"start","inside nest"
"22",42.3104333333333,"stop",""
"23",43.27145,"start","medium"
"25",45.1918833333333,"stop",""
"26",45.99545,"start","inside nest"
"27",49.8579,"stop",""
"28",50.3292333333333,"start","medium"
"30",51.9864666666667,"stop",""
"31",53.9186333333333,"start","inside nest"
"32",59.1390166666667,"stop",""
"33",59.8771333333333,"start","medium"
"35",61.4699666666667,"stop",""
"36",62.2849833333333,"start","inside nest"
"37",66.2683333333333,"switch","switch"
"38",67.2683333333333,"stop",""
"39",67.7284333333333,"start","medium"
"41",69.1986333333333,"stop",""
"42",69.3230333333333,"start","medium"
"43",69.8766,"stop",""
"44",70.48295,"start","inside nest"
"45",74.7495333333333,"stop",""
"46",75.7294833333333,"start","medium"
"48",77.6949833333333,"stop",""
"49",78.5000166666667,"start","inside nest"
"50",82.22035,"stop",""
"51",82.7209833333333,"start","medium"
"53",84.2870333333333,"stop",""
"54",85.0408666666667,"start","inside nest"
"55",88.46495,"stop",""
"56",89.8416833333333,"start","medium"
"58",91.7009666666667,"stop",""
"59",91.8791666666667,"start","medium"
"60",91.8911666666667,"stop",""
"61",95.38685,"start","inside nest"
"62",100.131933333333,"stop",""
"63",100.62925,"start","medium"
"65",102.0309,"stop",""
"66",102.655416666667,"start","inside nest"
"67",107.40075,"stop",""
"68",108.269783333333,"start","medium"
"70",109.735833333333,"stop",""
"71",110.333333333333,"start","inside nest"
